protein_id,nt_length,protein_classification
QXV78207.1,573,unknown
QXV78208.1,252,unknown
QXV78209.1,1737,replication;
QXV78210.1,NA,NA
QXV78211.1,516,unknown
QXV78212.1,366,unknown
QXV78213.1,387,unknown
QXV78214.1,351,unknown
QXV78215.1,372,unknown
QXV78216.1,NA,NA
QXV78217.1,NA,NA
QXV78218.1,165,unknown
QXV78219.1,NA,NA
QXV78220.1,NA,NA
QXV78221.1,273,unknown
QXV78222.1,NA,NA
QXV78223.1,NA,NA
QXV78224.1,201,unknown
QXV78225.1,NA,NA
QXV78226.1,258,unknown
QXV78227.1,NA,NA
QXV78228.1,291,unknown
QXV78229.1,354,unknown
QXV78230.1,339,unknown
QXV78231.1,252,unknown
QXV78232.1,NA,NA
QXV78233.1,438,unknown
QXV78234.1,1128,unknown
QXV78235.1,978,unknown
QXV78236.1,552,unknown
QXV78237.1,NA,NA
QXV78238.1,267,unknown
QXV78239.1,NA,NA
QXV78240.1,273,unknown
QXV78241.1,363,assembly;
QXV78242.1,147,unknown
QXV78243.1,273,unknown
QXV78244.1,555,unknown
QXV78245.1,180,unknown
QXV78246.1,366,unknown
QXV78247.1,240,unknown
QXV78248.1,228,unknown
QXV78249.1,216,unknown
QXV78250.1,159,unknown
QXV78251.1,171,unknown
QXV78252.1,360,unknown
QXV78253.1,138,unknown
QXV78254.1,183,unknown
QXV78255.1,NA,NA
QXV78256.1,303,unknown
QXV78257.1,NA,NA
QXV78258.1,NA,NA
QXV78259.1,NA,NA
QXV78260.1,285,unknown
QXV78261.1,171,unknown
QXV78262.1,NA,NA
QXV78263.1,237,unknown
QXV78264.1,105,unknown
QXV78265.1,216,unknown
QXV78266.1,387,unknown
QXV78267.1,426,unknown
QXV78268.1,NA,NA
QXV78269.1,231,unknown
QXV78270.1,384,unknown
QXV78271.1,NA,NA
QXV78272.1,NA,NA
QXV78273.1,369,unknown
QXV78274.1,369,unknown
QXV78275.1,NA,NA
QXV78276.1,216,unknown
QXV78277.1,NA,NA
QXV78278.1,453,unknown
QXV78279.1,213,unknown
QXV78280.1,300,unknown
QXV78281.1,369,unknown
QXV78282.1,210,unknown
QXV78283.1,249,unknown
QXV78284.1,NA,NA
QXV78285.1,NA,NA
QXV78286.1,NA,NA
QXV78287.1,NA,NA
QXV78288.1,NA,NA
QXV78289.1,219,unknown
QXV78290.1,NA,NA
QXV78291.1,NA,NA
QXV78292.1,NA,NA
QXV78293.1,NA,NA
QXV78294.1,NA,NA
QXV78295.1,NA,NA
QXV78296.1,252,unknown
QXV78297.1,174,unknown
QXV78298.1,NA,NA
QXV78299.1,NA,NA
QXV78300.1,NA,NA
QXV78301.1,NA,NA
QXV78302.1,NA,NA
QXV78303.1,NA,NA
QXV78304.1,411,unknown
QXV78305.1,183,unknown
QXV78306.1,NA,NA
QXV78307.1,273,unknown
QXV78308.1,600,unknown
QXV78309.1,105,unknown
QXV78310.1,174,unknown
QXV78311.1,288,unknown
QXV78312.1,NA,NA
QXV78313.1,222,unknown
QXV78314.1,258,unknown
QXV78315.1,813,unknown
QXV78316.1,531,unknown
QXV78317.1,612,unknown
QXV78318.1,NA,NA
QXV78319.1,990,unknown
QXV78320.1,411,unknown
QXV78321.1,258,unknown
QXV78322.1,525,unknown
QXV78323.1,579,unknown
QXV78324.1,321,unknown
QXV78325.1,744,unknown
QXV78326.1,327,unknown
QXV78327.1,573,unknown
QXV78328.1,NA,NA
QXV78329.1,663,unknown
QXV78330.1,204,unknown
QXV78331.1,231,unknown
QXV78332.1,510,unknown
QXV78333.1,429,unknown
QXV78334.1,654,unknown
QXV78335.1,492,unknown
QXV78336.1,753,unknown
QXV78337.1,501,lysis;
QXV78338.1,144,unknown
QXV78339.1,261,unknown
QXV78340.1,831,replication;
QXV78341.1,555,unknown
QXV78342.1,870,unknown
QXV78343.1,990,unknown
QXV78344.1,NA,NA
QXV78345.1,327,unknown
QXV78346.1,NA,NA
QXV78347.1,NA,NA
QXV78348.1,219,unknown
QXV78349.1,1086,integration;replication;
QXV78350.1,336,unknown
QXV78351.1,2262,replication;
QXV78352.1,249,unknown
QXV78353.1,411,unknown
QXV78354.1,972,unknown
QXV78355.1,591,unknown
QXV78356.1,564,unknown
QXV78357.1,576,unknown
QXV78358.1,195,unknown
QXV78359.1,402,unknown
QXV78360.1,963,unknown
QXV78361.1,NA,NA
QXV78362.1,213,unknown
QXV78363.1,885,packaging;
QXV78364.1,NA,NA
QXV78365.1,723,unknown
QXV78366.1,180,unknown
QXV78367.1,1116,replication;
QXV78368.1,NA,NA
QXV78369.1,225,unknown
QXV78370.1,NA,NA
QXV78371.1,405,unknown
QXV78372.1,933,replication;infection;
QXV78373.1,NA,NA
QXV78374.1,360,unknown
QXV78375.1,150,unknown
QXV78376.1,342,unknown
QXV78377.1,192,unknown
QXV78378.1,279,unknown
QXV78379.1,336,integration;
QXV78380.1,240,unknown
QXV78381.1,198,unknown
QXV78382.1,369,unknown
QXV78383.1,894,unknown
QXV78384.1,1734,unknown
QXV78385.1,222,unknown
QXV78386.1,NA,NA
QXV78387.1,267,unknown
QXV78388.1,NA,NA
QXV78389.1,324,unknown
QXV78390.1,NA,NA
QXV78391.1,291,unknown
QXV78392.1,NA,NA
QXV78393.1,174,unknown
QXV79358.1,528,packaging;
QXV79359.1,1569,unknown
QXV79360.1,1293,unknown
QXV79361.1,756,unknown
QXV79362.1,1116,unknown
QXV79363.1,510,unknown
QXV79364.1,NA,NA
QXV79365.1,972,unknown
QXV79366.1,267,unknown
QXV79367.1,420,unknown
QXV79368.1,372,unknown
QXV79369.1,444,unknown
QXV79370.1,402,unknown
QXV79371.1,663,unknown
QXV79372.1,318,unknown
QXV79373.1,198,unknown
QXV79374.1,2682,unknown
QXV79375.1,351,unknown
QXV79376.1,762,unknown
QXV79377.1,732,unknown
QXV79378.1,600,assembly;infection;
QXV79379.1,3426,unknown
QXV79380.1,615,unknown
QXV79381.1,279,assembly;
QXV79382.1,NA,NA
QXV79383.1,1056,unknown
QXV79384.1,258,unknown
QXV79385.1,654,unknown
QXV79386.1,447,unknown
QXV79387.1,NA,NA
QXV79388.1,930,unknown
QXV79389.1,477,unknown
QXV79390.1,1998,replication;
QXV79391.1,420,unknown
QXV79392.1,726,unknown
QXV79393.1,258,unknown
QXV79394.1,180,unknown
QXV79395.1,243,unknown
QXV79396.1,1116,unknown
QXV79397.1,216,unknown
QXV79398.1,492,unknown
QXV79399.1,396,unknown
QXV79400.1,225,unknown
QXV79401.1,NA,NA
QXV79402.1,396,unknown
QXV79403.1,1581,unknown
QXV79404.1,NA,NA
QXV79405.1,390,unknown
QXV79406.1,774,unknown
QXV79407.1,225,unknown
QXV79408.1,NA,NA
QXV79409.1,228,unknown
QXV79410.1,102,unknown
QXV79411.1,NA,NA
QXV79412.1,282,unknown
QXV79413.1,198,unknown
QXV79414.1,NA,NA
QXV79415.1,228,unknown
QXV79416.1,264,unknown
QXV79417.1,NA,NA
QXV79418.1,NA,NA
QXV79419.1,273,unknown
QXV79420.1,465,unknown
QXV79421.1,NA,NA
QXV79422.1,186,unknown
QXV79423.1,186,unknown
QXV79424.1,894,unknown
QXV79425.1,153,unknown
QXV79426.1,231,unknown
QXV79427.1,222,unknown
QXV79428.1,543,unknown
QXV79429.1,NA,NA
QXV79430.1,300,unknown
QXV79431.1,NA,NA
QXV79432.1,186,unknown
QXV79433.1,NA,NA
QXV79434.1,NA,NA
QXV79435.1,591,unknown
QXV79436.1,381,unknown
QXV79437.1,129,unknown
QXV79438.1,249,unknown
QXV79439.1,NA,NA
QXV79440.1,291,unknown
QXV79441.1,213,unknown
QXV79442.1,264,assembly;
QXV79443.1,315,unknown
QXV79444.1,129,unknown
QXV79445.1,231,unknown
QXV79446.1,234,unknown
QXV79447.1,186,unknown
QXV79448.1,225,unknown
QXV79449.1,552,packaging;
QXV79450.1,1386,assembly;
QXV79451.1,1521,assembly;
QXV79452.1,1104,assembly;
QXV79453.1,309,assembly;
QXV79454.1,231,assembly;
QXV79455.1,765,unknown
QXV79456.1,705,assembly;
QXV79457.1,1095,assembly;
QXV79458.1,501,assembly;
QXV79459.1,NA,NA
QXV79460.1,354,assembly;
QXV79461.1,504,infection;
QXV79462.1,423,assembly;
QXV79463.1,726,infection;
QXV79464.1,363,unknown
QXV79465.1,120,assembly;
QXV79466.1,165,unknown
QXV79467.1,2643,infection;
QXV79468.1,600,infection;
QXV79469.1,789,infection;
QXV79470.1,741,infection;
QXV79471.1,618,assembly;
QXV79472.1,3420,infection;
QXV79473.1,303,assembly;
QXV79474.1,675,assembly;
QXV79475.1,219,infection;
QXV79476.1,NA,NA
QXV79477.1,576,assembly;
QXV79478.1,522,unknown
QXV79479.1,195,unknown
QXV79480.1,486,assembly;
QXV79481.1,465,unknown
QXV79482.1,243,unknown
QXV79483.1,324,packaging;
QXV79484.1,711,assembly;
QXV79485.1,1425,assembly;
QXV79486.1,225,assembly;
QXV79487.1,174,assembly;
QXV79488.1,279,unknown
QXV79489.1,2292,replication;
QXV79490.1,171,unknown
QXV79491.1,750,assembly;
QXV79492.1,243,unknown
QXV79493.1,1434,unknown
QXV79494.1,189,unknown
QXV79495.1,252,unknown
QXV79496.1,699,assembly;
QXV79497.1,NA,NA
QXV79498.1,330,integration;
QXV79499.1,2265,assembly;
QXV79500.1,186,unknown
QXV79501.1,306,unknown
QXV79502.1,270,assembly;
QXV79503.1,153,unknown
QXV79504.1,555,unknown
QXV79505.1,147,unknown
QXV79506.1,NA,NA
QXV79507.1,300,unknown
QXV79508.1,291,assembly;
QXV79509.1,246,assembly;
QXV79510.1,492,lysis;
QXV79511.1,414,unknown
QXV79512.1,1143,assembly;
QXV79513.1,558,unknown
QXV79514.1,1560,unknown
QXV79515.1,1497,assembly;
QXV79516.1,873,unknown
QXV79517.1,1062,assembly;
QXV79518.1,324,unknown
QXV79519.1,654,unknown
QXV79520.1,NA,NA
QXV79521.1,507,unknown
QXV79522.1,381,unknown
QXV79523.1,408,unknown
QXV79524.1,450,unknown
QXV79525.1,924,unknown
QXV79526.1,408,assembly;infection;
QXV79526.1,408,assembly;infection;
QXV79527.1,147,assembly;infection;
QXV79527.1,147,assembly;infection;
QXV79528.1,3117,assembly;
QXV79529.1,585,unknown
QXV79530.1,585,unknown
QXV79531.1,435,unknown
QXV79532.1,3123,infection;
QXV79533.1,234,unknown
QXV79534.1,582,infection;
QXV79535.1,NA,NA
QXV79536.1,NA,NA
QXV79537.1,369,unknown
QXV79538.1,531,unknown
QXV79539.1,285,unknown
QXV79540.1,204,unknown
QXV79541.1,279,unknown
QXV79542.1,207,unknown
QXV79543.1,186,unknown
QXV79544.1,207,unknown
QXV79545.1,294,unknown
QXV79546.1,285,unknown
QXV79547.1,1986,replication;
QXV79548.1,954,integration;replication;
QXV79549.1,NA,NA
QXV79550.1,NA,NA
QXV79551.1,921,unknown
QXV79552.1,234,unknown
QXV79553.1,624,unknown
QXV79554.1,537,unknown
QXV79555.1,591,unknown
QXV79556.1,480,unknown
QXV79557.1,708,unknown
QXV79558.1,189,unknown
QXV79559.1,213,unknown
QXV79560.1,708,unknown
QXV79561.1,813,unknown
QXV79562.1,495,unknown
QXV79563.1,1977,replication;
QXV79564.1,909,packaging;
QXV79565.1,864,unknown
QXV79566.1,729,unknown
QXV79567.1,921,replication;
QXV79568.1,663,unknown
QXV79569.1,231,unknown
QXV79570.1,792,unknown
QXV79571.1,459,unknown
QXV79572.1,594,unknown
QXV79573.1,468,unknown
QXV79574.1,NA,NA
QXV79575.1,318,unknown
QXV79576.1,198,unknown
QXV79577.1,NA,NA
QXV79578.1,225,unknown
QXV79579.1,2340,replication;
QXV79580.1,NA,NA
QXV79581.1,NA,NA
QXV79582.1,216,unknown
QXV79583.1,327,unknown
QXV79584.1,615,unknown
QXV79585.1,249,unknown
QXV79586.1,168,unknown
QXV79587.1,NA,NA
QXV79588.1,264,unknown
QXV79589.1,186,unknown
QXV79590.1,141,unknown
QXV79591.1,NA,NA
QXV79592.1,NA,NA
QXV79593.1,252,unknown
QXV79594.1,180,unknown
QXV79595.1,297,unknown
QXV79596.1,225,unknown
QXV79597.1,543,unknown
QXV79598.1,393,unknown
QXV79599.1,471,unknown
QXV79600.1,426,unknown
QXV79601.1,186,unknown
QXV79602.1,465,unknown
QXV79603.1,261,unknown
QXV79604.1,438,lysis;
QXV79605.1,345,unknown
QXV79606.1,477,unknown
QXV79607.1,NA,NA
QXV79608.1,483,unknown
QXV79609.1,1317,packaging;
QXV79610.1,438,unknown
QXV79611.1,1218,infection;
QXV79612.1,483,infection;
QXV79613.1,633,lysis;assembly;
QXV79614.1,1377,assembly;
QXV79615.1,513,unknown
QXV79616.1,768,unknown
QXV79617.1,486,unknown
QXV79618.1,1410,infection;
QXV79619.1,900,infection;
QXV79620.1,405,unknown
QXV79621.1,369,unknown
QXV79622.1,3708,assembly;
QXV79623.1,615,unknown
QXV79624.1,2850,infection;
QXV79625.1,2058,infection;
QXV79626.1,423,infection;
QXV79627.1,3105,infection;
QXV79628.1,NA,NA
QXV79629.1,267,unknown
QXV79630.1,447,unknown
QXV79631.1,876,packaging;
QXV79632.1,483,unknown
QXV79633.1,1899,packaging;
QXV79634.1,978,integration;packaging;
QXV79635.1,774,unknown
QXV79636.1,285,unknown
QXV79637.1,531,packaging;
QXV79638.1,1347,replication;
QXV79639.1,498,unknown
QXV79640.1,2478,replication;
QXV79641.1,891,replication;
QXV79642.1,1524,replication;
QXV79643.1,768,unknown
QXV79644.1,780,replication;
QXV79645.1,972,replication;
QXV79646.1,216,unknown
QXV79647.1,309,regulation;
QXV79648.1,297,unknown
QXV79649.1,411,unknown
QXV79650.1,255,unknown
QXV79651.1,705,unknown
QXV79652.1,234,unknown
QXV79653.1,2790,replication;
QXV79654.1,396,unknown
QXV79655.1,429,unknown
QXV79656.1,507,unknown
QXV79657.1,186,unknown
QXV79658.1,216,unknown
QXV79659.1,843,unknown
QXV79660.1,195,unknown
QXV79661.1,204,unknown
QXV79662.1,282,unknown
QXV79663.1,1875,replication;
QXV79664.1,753,unknown
QXV79665.1,243,unknown
QXV79666.1,2391,replication;
QXV79667.1,1146,integration;replication;
QXV79668.1,531,replication;
QXV79669.1,855,unknown
QXV79670.1,255,unknown
QXV79671.1,270,unknown
QXV79672.1,477,packaging;
QXV79673.1,279,unknown
QXV79674.1,516,unknown
QXV79675.1,216,unknown
QXV79676.1,213,unknown
QXV79677.1,702,lysis;
QXV79678.1,183,unknown
QXV79679.1,639,unknown
QXV79680.1,318,unknown
QXV79681.1,450,lysis;
QXV79682.1,171,unknown
QXV79683.1,444,unknown
QXV79684.1,NA,NA
QXV79685.1,NA,NA
QXV79686.1,201,unknown
QXV79687.1,945,unknown
QXV79688.1,NA,NA
QXV79689.1,195,unknown
QXV79690.1,420,unknown
QXV79691.1,996,unknown
QXV79692.1,1056,unknown
QXV79693.1,678,infection;
QXV79694.1,297,unknown
QXV79695.1,186,unknown
QXV79696.1,339,unknown
QXV79697.1,123,unknown
QXV79698.1,207,unknown
QXV79699.1,276,unknown
QXV79700.1,492,unknown
QXV79701.1,381,packaging;
QXV79702.1,189,unknown
QXV79703.1,186,unknown
QXV79704.1,NA,NA
QXV79705.1,165,unknown
QXV79706.1,318,unknown
QXV79707.1,354,unknown
QXV79708.1,264,unknown
QXV79709.1,219,unknown
QXV79710.1,357,unknown
QXV79711.1,180,unknown
QXV79712.1,201,unknown
QXV79713.1,243,unknown
QXV79714.1,165,unknown
QXV79715.1,294,unknown
QXV79716.1,NA,NA
QXV79717.1,369,replication;
QXV79718.1,162,unknown
QXV79719.1,162,unknown
QXV79720.1,186,unknown
QXV79721.1,348,unknown
QXV79722.1,498,packaging;
QXV79723.1,282,unknown
QXV79724.1,300,unknown
QXV79725.1,420,unknown
QXV79726.1,297,unknown
QXV79727.1,285,unknown
QXV79728.1,348,unknown
QXV79729.1,699,unknown
QXV79730.1,450,unknown
QXV79731.1,354,unknown
QXV79732.1,753,unknown
QXV79733.1,600,lysis;
QXV79734.1,657,lysis;
QXV79735.1,414,lysis;
QXV79736.1,417,unknown
QXV79737.1,411,unknown
QXV79738.1,291,assembly;
QXV79739.1,321,unknown
QXV79740.1,864,unknown
QXV79741.1,369,unknown
QXV79742.1,207,unknown
QXV79743.1,591,unknown
QXV79744.1,102,unknown
QXV79745.1,432,unknown
QXV79746.1,252,unknown
QXV79747.1,414,unknown
QXV79748.1,282,unknown
QXV79749.1,246,unknown
QXV79750.1,333,unknown
QXV79751.1,NA,NA
QXV79752.1,201,unknown
QXV79753.1,468,unknown
QXV79754.1,384,unknown
QXV79755.1,519,unknown
QXV79756.1,285,unknown
QXV79757.1,186,unknown
QXV79758.1,612,unknown
QXV79759.1,891,unknown
QXV79760.1,NA,NA
QXV79761.1,195,unknown
QXV79762.1,NA,NA
QXV79763.1,NA,NA
QXV79764.1,201,unknown
QXV79765.1,345,unknown
QXV79766.1,NA,NA
QXV79767.1,213,unknown
QXV79768.1,522,unknown
QXV79769.1,309,unknown
QXV79770.1,996,unknown
QXV79771.1,174,unknown
QXV79772.1,219,unknown
QXV79773.1,252,unknown
QXV79774.1,417,infection;
QXV79775.1,228,infection;
QXV79776.1,1665,infection;
QXV79777.1,279,unknown
QXV79778.1,393,unknown
QXV79779.1,735,unknown
QXV79780.1,246,unknown
QXV79781.1,195,unknown
QXV79782.1,105,unknown
QXV79783.1,135,unknown
QXV79784.1,315,unknown
QXV79785.1,267,unknown
QXV79786.1,1782,replication;
QXV80536.1,531,packaging;
QXV80537.1,1572,unknown
QXV80538.1,1290,unknown
QXV80539.1,750,unknown
QXV80540.1,1116,unknown
QXV80541.1,486,unknown
QXV80542.1,498,unknown
QXV80543.1,NA,NA
QXV80544.1,963,unknown
QXV80545.1,273,unknown
QXV80546.1,399,unknown
QXV80547.1,372,unknown
QXV80548.1,441,unknown
QXV80549.1,402,unknown
QXV80550.1,660,unknown
QXV80551.1,315,assembly;infection;
QXV80552.1,195,unknown
QXV80552.1,195,unknown
QXV80553.1,2904,assembly;
QXV80554.1,297,infection;
QXV80555.1,753,infection;
QXV80556.1,717,assembly;
QXV80557.1,600,assembly;infection;
QXV80558.1,3579,unknown
QXV80559.1,NA,NA
QXV80560.1,654,unknown
QXV80561.1,306,unknown
QXV80562.1,1059,unknown
QXV80563.1,294,unknown
QXV80564.1,648,unknown
QXV80565.1,423,replication;
QXV80566.1,NA,NA
QXV80567.1,957,unknown
QXV80568.1,441,unknown
QXV80569.1,2001,replication;
QXV80570.1,417,unknown
QXV80571.1,279,unknown
QXV80572.1,747,unknown
QXV80573.1,NA,NA
QXV80574.1,249,unknown
QXV80575.1,192,unknown
QXV80576.1,249,unknown
QXV80577.1,1119,unknown
QXV80578.1,171,unknown
QXV80579.1,216,unknown
QXV80580.1,495,unknown
QXV80581.1,396,lysis;
QXV80582.1,393,unknown
QXV80583.1,1578,unknown
QXV80584.1,246,assembly;
QXV80585.1,366,unknown
QXV80586.1,NA,NA
QXV80587.1,777,regulation;
QXV80588.1,225,unknown
QXV80589.1,228,unknown
QXV80590.1,NA,NA
QXV80591.1,195,assembly;
QXV80592.1,201,unknown
QXV80593.1,NA,NA
QXV80594.1,NA,NA
QXV80595.1,426,assembly;
QXV80596.1,NA,NA
QXV80597.1,156,unknown
QXV80598.1,NA,NA
QXV80599.1,189,unknown
QXV80600.1,NA,NA
QXV80601.1,NA,NA
QXV80602.1,168,unknown
QXV80603.1,NA,NA
QXV80604.1,537,unknown
QXV80605.1,NA,NA
QXV80606.1,NA,NA
QXV80607.1,NA,NA
QXV80608.1,NA,NA
QXV80609.1,192,unknown
QXV80610.1,231,unknown
QXV80611.1,NA,NA
QXV80612.1,567,unknown
QXV80613.1,123,unknown
QXV80614.1,NA,NA
QXV80615.1,279,unknown
QXV80616.1,NA,NA
QXV80617.1,NA,NA
QXV80618.1,213,unknown
QXV80619.1,237,unknown
QXV80620.1,342,assembly;
QXV80621.1,129,unknown
QXV80622.1,231,assembly;
QXV80623.1,168,assembly;
QXV80624.1,186,unknown
QXV80625.1,234,unknown
QXV80676.1,NA,NA
QXV80677.1,1569,unknown
QXV80678.1,1281,unknown
QXV80679.1,765,unknown
QXV80680.1,1113,unknown
QXV80681.1,513,unknown
QXV80682.1,435,unknown
QXV80683.1,975,unknown
QXV80684.1,273,unknown
QXV80685.1,417,unknown
QXV80686.1,372,unknown
QXV80687.1,444,unknown
QXV80688.1,399,unknown
QXV80689.1,663,unknown
QXV80690.1,318,unknown
QXV80691.1,192,unknown
QXV80692.1,2673,unknown
QXV80693.1,297,unknown
QXV80694.1,762,unknown
QXV80695.1,732,unknown
QXV80696.1,597,unknown
QXV80697.1,NA,NA
QXV80698.1,3426,unknown
QXV80699.1,306,assembly;
QXV80700.1,672,unknown
QXV80701.1,228,unknown
QXV80702.1,1062,unknown
QXV80703.1,279,unknown
QXV80704.1,657,unknown
QXV80705.1,453,unknown
QXV80706.1,258,unknown
QXV80707.1,492,unknown
QXV80708.1,324,unknown
QXV80709.1,378,unknown
QXV80710.1,234,unknown
QXV80711.1,2226,infection;
QXV80712.1,933,unknown
QXV80713.1,474,unknown
QXV80714.1,2040,unknown
QXV80715.1,420,unknown
QXV80716.1,702,unknown
QXV80717.1,240,unknown
QXV80718.1,180,unknown
QXV80719.1,243,unknown
QXV80720.1,1116,unknown
QXV80721.1,216,unknown
QXV80722.1,489,unknown
QXV80723.1,399,unknown
QXV80724.1,NA,NA
QXV80725.1,393,unknown
QXV80726.1,1584,unknown
QXV80727.1,NA,NA
QXV80728.1,387,unknown
QXV80729.1,711,unknown
QXV80730.1,225,unknown
QXV80731.1,114,unknown
QXV80732.1,228,unknown
QXV80733.1,102,unknown
QXV80734.1,282,unknown
QXV80735.1,195,unknown
QXV80736.1,291,unknown
QXV80737.1,153,unknown
QXV80738.1,267,unknown
QXV80739.1,246,unknown
QXV80740.1,273,unknown
QXV80741.1,NA,NA
QXV80742.1,486,assembly;
QXV80743.1,NA,NA
QXV80744.1,186,unknown
QXV80745.1,186,unknown
QXV80746.1,882,unknown
QXV80747.1,219,unknown
QXV80748.1,714,unknown
QXV80749.1,NA,NA
QXV80750.1,186,unknown
QXV80751.1,117,unknown
QXV80752.1,NA,NA
QXV80753.1,591,unknown
QXV80754.1,402,unknown
QXV80755.1,132,unknown
QXV80756.1,264,unknown
QXV80757.1,180,unknown
QXV80758.1,288,unknown
QXV80759.1,225,unknown
QXV80760.1,234,unknown
QXV80761.1,315,unknown
QXV80762.1,129,unknown
QXV80763.1,231,unknown
QXV80764.1,NA,NA
QXV80765.1,183,unknown
QXV80766.1,234,unknown
QXV80767.1,507,packaging;
QXV80768.1,477,packaging;
QXV80769.1,1545,packaging;
QXV80770.1,1266,assembly;
QXV80771.1,1092,lysis;assembly;
QXV80772.1,495,unknown
QXV80773.1,945,unknown
QXV80774.1,246,assembly;
QXV80775.1,399,unknown
QXV80776.1,372,unknown
QXV80777.1,438,unknown
QXV80778.1,402,unknown
QXV80779.1,657,infection;
QXV80780.1,249,unknown
QXV80781.1,315,unknown
QXV80782.1,300,unknown
QXV80783.1,2976,infection;
QXV80784.1,477,assembly;
QXV80785.1,351,infection;
QXV80786.1,756,infection;
QXV80787.1,759,infection;
QXV80788.1,573,assembly;infection;
QXV80789.1,3411,infection;
QXV80790.1,936,unknown
QXV80791.1,231,unknown
QXV80792.1,690,regulation;
QXV80793.1,NA,NA
QXV80794.1,195,unknown
QXV80795.1,966,packaging;
QXV80796.1,465,unknown
QXV80797.1,216,unknown
QXV80798.1,651,integration;
QXV80799.1,429,replication;
QXV80800.1,NA,NA
QXV80801.1,924,replication;
QXV80802.1,474,assembly;
QXV80803.1,1995,replication;
QXV80804.1,420,unknown
QXV80805.1,204,unknown
QXV80806.1,195,unknown
QXV80807.1,159,unknown
QXV80808.1,222,unknown
QXV80809.1,186,unknown
QXV80810.1,126,unknown
QXV80811.1,249,unknown
QXV80812.1,252,unknown
QXV80813.1,1131,unknown
QXV80814.1,177,unknown
QXV80815.1,216,lysis;
QXV80816.1,486,lysis;
QXV80817.1,390,unknown
QXV80818.1,336,unknown
QXV80819.1,1584,assembly;
QXV80820.1,354,unknown
QXV80821.1,180,unknown
QXV80822.1,NA,NA
QXV80823.1,165,unknown
QXV80824.1,240,unknown
QXV80825.1,NA,NA
QXV80826.1,174,unknown
QXV80827.1,NA,NA
QXV80828.1,549,unknown
QXV80829.1,528,unknown
QXV80830.1,264,unknown
QXV80831.1,NA,NA
QXV80832.1,132,unknown
QXV80833.1,618,unknown
QXV80834.1,NA,NA
QXV80835.1,228,unknown
QXV80836.1,147,unknown
QXV80837.1,246,unknown
QXV80838.1,156,unknown
QXV80839.1,132,unknown
QXV80840.1,NA,NA
QXV80841.1,NA,NA
QXV80842.1,240,unknown
QXV80843.1,NA,NA
QXV80844.1,NA,NA
QXV80845.1,183,unknown
QXV80846.1,NA,NA
QXV80847.1,NA,NA
QXV80848.1,NA,NA
QXV80849.1,NA,NA
QXV81692.1,201,unknown
QXV81693.1,1602,unknown
QXV81694.1,1467,unknown
QXV81695.1,501,unknown
QXV81696.1,333,unknown
QXV81697.1,1347,lysis;assembly;infection;
QXV81698.1,378,unknown
QXV81699.1,1107,assembly;
QXV81700.1,450,assembly;
QXV81701.1,483,unknown
QXV81702.1,402,unknown
QXV81703.1,600,assembly;
QXV81704.1,1353,assembly;
QXV81705.1,447,unknown
QXV81706.1,399,assembly;
QXV81707.1,240,assembly;
QXV81708.1,2229,infection;
QXV81709.1,798,unknown
QXV81710.1,342,unknown
QXV81711.1,978,unknown
QXV81712.1,624,infection;
QXV81713.1,420,unknown
QXV81714.1,1470,assembly;infection;
QXV81715.1,858,unknown
QXV81716.1,303,unknown
QXV81717.1,1149,infection;
QXV81718.1,2355,infection;
QXV81719.1,198,unknown
QXV81720.1,372,unknown
QXV81721.1,900,unknown
QXV81722.1,546,replication;
QXV81723.1,261,unknown
QXV81724.1,516,assembly;
QXV81725.1,360,unknown
QXV81726.1,300,replication;regulation;
QXV81727.1,213,unknown
QXV81728.1,384,assembly;
QXV81729.1,147,unknown
QXV81730.1,1140,replication;
QXV81731.1,219,assembly;
QXV81732.1,258,unknown
QXV81733.1,237,unknown
QXV81734.1,177,unknown
QXV81735.1,213,unknown
QXV81736.1,210,assembly;
QXV81737.1,528,packaging;
QXV81738.1,2730,replication;
QXV81739.1,423,assembly;
QXV81740.1,801,assembly;
QXV81741.1,744,unknown
QXV81742.1,201,assembly;
QXV81743.1,1986,replication;
QXV81744.1,288,unknown
QXV81745.1,150,assembly;
QXV81746.1,858,unknown
QXV81747.1,1041,unknown
QXV81748.1,498,unknown
QXV81749.1,249,unknown
QXV81750.1,756,unknown
QXV81751.1,324,assembly;
QXV81752.1,240,unknown
QXV81753.1,2235,replication;
QXV81754.1,342,unknown
QXV81755.1,1074,integration;replication;
QXV81756.1,243,unknown
QXV81757.1,207,assembly;
QXV81758.1,2887,replication;
QXV81759.1,465,packaging;
QXV81760.1,126,unknown
QXV81761.1,201,assembly;
QXV81762.1,396,unknown
QXV81763.1,300,unknown
QXV81764.1,486,replication;
QXV81765.1,276,unknown
QXV81766.1,267,unknown
QXV81767.1,321,unknown
QXV81768.1,516,unknown
QXV81769.1,279,unknown
QXV81770.1,882,unknown
QXV81771.1,1782,unknown
QXV81772.1,345,unknown
QXV81773.1,336,unknown
QXV81774.1,177,assembly;
QXV81775.1,2367,unknown
QXV81776.1,1107,unknown
QXV81777.1,549,assembly;
QXV81778.1,696,unknown
QXV81779.1,465,unknown
QXV81780.1,348,unknown
QXV81781.1,270,unknown
QXV81782.1,270,unknown
QXV81783.1,327,assembly;
QXV81784.1,228,unknown
QXV81785.1,201,unknown
QXV81786.1,786,unknown
